t_s,Q_pred,Q_obs,CI_inf,CI_sup,PI_inf,PI_sup
0.0,49.987033612480666,50.84393637199734,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
1.0,49.987033612480666,53.51870465328429,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
2.0,49.987033612480666,50.22646226725436,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
3.0,49.987033612480666,51.60984698319214,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
4.0,49.987033612480666,44.87456974742244,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
5.0,49.987033612480666,49.87820399517471,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
6.0,49.987033612480666,47.89192432426782,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
7.0,49.987033612480666,46.95296734894093,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
8.0,49.987033612480666,47.80461908267812,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
9.0,49.987033612480666,49.16469139824797,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
10.0,49.987033612480666,52.289756355890034,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
11.0,49.987033612480666,46.68401820565109,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
12.0,49.987033612480666,50.076578731486045,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
13.0,49.987033612480666,48.78957641666605,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
14.0,49.987033612480666,49.1808172640951,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
15.0,49.987033612480666,52.50689456326151,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
16.0,49.987033612480666,51.34528859250982,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
17.0,49.987033612480666,53.34349526860686,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
18.0,49.987033612480666,49.61373580187525,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
19.0,49.987033612480666,48.260143470823245,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
20.0,49.987033612480666,49.44035295779875,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
21.0,49.987033612480666,50.606241978178055,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
22.0,49.987033612480666,50.44143339613428,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
23.0,49.987033612480666,47.289029819416584,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
24.0,49.987033612480666,50.22622445406969,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
25.0,49.987033612480666,50.57057082534726,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
26.0,49.987033612480666,56.2936850938348,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
27.0,49.987033612480666,54.69211152820417,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
28.0,49.987033612480666,47.86689162360295,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
29.0,49.987033612480666,49.28154159612706,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
30.0,49.987033612480666,46.34139499540749,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
31.0,49.987033612480666,48.52323246509128,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
32.0,49.987033612480666,50.78901250897585,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
33.0,49.987033612480666,53.014634052220586,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
34.0,49.987033612480666,48.17729040564098,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
35.0,49.987033612480666,48.36463389983051,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
36.0,49.987033612480666,44.63177742565336,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
37.0,49.987033612480666,49.59333519863773,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
38.0,49.987033612480666,47.34396397035109,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
39.0,49.987033612480666,48.676401431584814,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
40.0,49.987033612480666,47.80784805458103,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
41.0,49.987033612480666,49.764343614368606,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
42.0,49.987033612480666,45.605679021608424,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
43.0,49.987033612480666,46.33238688652252,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
44.0,49.987033612480666,55.323117780070746,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
45.0,49.987033612480666,46.78144354681492,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
46.0,49.987033612480666,47.2580360538634,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
47.0,49.987033612480666,54.59228382080329,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
48.0,49.987033612480666,57.26266792310102,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
49.0,49.987033612480666,47.07108342793664,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
50.0,49.987033612480666,49.07937760802992,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
51.0,49.987033612480666,50.853888877351274,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
52.0,49.987033612480666,54.321744111013984,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
53.0,49.987033612480666,47.532857303929404,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
54.0,49.987033612480666,49.386805385144726,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
55.0,49.987033612480666,51.943343940154364,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
56.0,49.987033612480666,51.08691518616655,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
57.0,49.987033612480666,49.05960982192475,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
58.0,49.987033612480666,49.665442588709894,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
59.0,49.987033612480666,46.562760479075045,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
60.0,49.987033612480666,49.40456564006334,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
61.0,49.987033612480666,49.33403127497761,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
62.0,49.987033612480666,50.58042472406564,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
63.0,49.987033612480666,48.61168195295246,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
64.0,49.987033612480666,51.17884630636285,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
65.0,49.987033612480666,52.53178954454957,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
66.0,49.987033612480666,50.388573319171165,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
67.0,49.987033612480666,50.87939102099801,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
68.0,49.987033612480666,50.13288836894467,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
69.0,49.987033612480666,50.00021098272853,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
70.0,49.987033612480666,48.19610491614288,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
71.0,49.987033612480666,50.79123565418327,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
72.0,49.987033612480666,49.756783503966275,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
73.0,49.987033612480666,55.23292077232649,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
74.0,49.987033612480666,53.933387256188105,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
75.0,49.987033612480666,50.96461638139125,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
76.0,49.987033612480666,48.09235697576308,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
77.0,49.987033612480666,47.218971320041454,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
78.0,49.987033612480666,52.97785738272216,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
79.0,49.987033612480666,50.656873062867845,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
80.0,49.987033612480666,51.20035850847903,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
81.0,49.987033612480666,45.63853503256452,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
82.0,49.987033612480666,52.31859620389545,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
83.0,49.987033612480666,51.136050845535905,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
84.0,49.987033612480666,47.2239232889638,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
85.0,49.987033612480666,48.821187981375125,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
86.0,49.987033612480666,50.6592930108913,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
87.0,49.987033612480666,50.13116699589061,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
88.0,49.987033612480666,49.269572035491116,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
89.0,49.987033612480666,49.741279329835095,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
90.0,49.987033612480666,49.37005655448279,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
91.0,49.987033612480666,50.38140628025617,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
92.0,49.987033612480666,53.678729932482895,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
93.0,49.987033612480666,43.583353897671756,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
94.0,49.987033612480666,49.40787433872579,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
95.0,49.987033612480666,50.44128105343112,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
96.0,49.987033612480666,50.73998497421775,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
97.0,49.987033612480666,49.07021354669678,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
98.0,49.987033612480666,45.60819554380355,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
99.0,49.987033612480666,50.819988709285276,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
100.0,49.987033612480666,54.31837553541046,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
101.0,49.987033612480666,46.165346487709655,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
102.0,49.987033612480666,52.15957003424547,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
103.0,49.987033612480666,49.17868694219276,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
104.0,49.987033612480666,49.84668913542788,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
105.0,49.987033612480666,47.36775372324013,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
106.0,49.987033612480666,49.16385956911031,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
107.0,49.987033612480666,53.25011148674739,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
108.0,49.987033612480666,51.456638104969265,45.28264747937331,54.69141974558802,45.28264747937331,54.69141974558802
