seed,n,S0,Q0,A_hyd,B_w,Q_max,mass_residual
42,0.042122857262455043,0.0019238502270825936,64.34391679645529,115.7894423247491,33.76709391550598,64.34391679645529,0.10391276781824357
43,0.03895978083022368,0.00046196869746428743,30.801183474968674,127.1370066008824,53.48572190352234,30.801183474968674,0.2400288965697972
44,0.02518670325152066,0.00125501837665926,46.23082911284524,137.53471585155376,36.49268499142267,46.23082911284524,0.06766336079577448
45,0.03690139708063515,0.0022554172371297503,60.54600959207704,124.93542136076856,50.40915420802895,60.54600959207704,0.07777625985421319
46,0.04554571119394811,0.0005857391348834497,40.90279023674551,109.74803857969064,67.36113633157457,40.90279023674551,0.2571571407357667
47,0.041286851860706575,0.003088574623342549,48.60722152917934,68.29800237183136,68.67407399302934,48.60722152917934,0.07158475111760347
48,0.03208019667942546,0.002504361913108558,50.552021802160404,115.5593523205922,56.0998699901356,50.552021802160404,0.05518674348637636
49,0.03143420899917954,0.0024949038626280095,45.67800847856748,109.89594285412907,56.2325870422843,45.67800847856748,0.05258711710590096
50,0.04247298998905222,0.0033845765379592555,51.916178407369,137.87592769120903,39.473342316494396,51.916178407369,0.060219876510978126
51,0.04650347110303084,0.0014364119349183383,40.19626537657432,77.80948199921767,61.44816882743502,40.19626537657432,0.16937998179002456
52,0.03800983682486325,0.00242463729385058,50.78174316759714,60.51116332025228,52.01169570299172,50.78174316759714,0.08494684896453224
53,0.02228930185867092,0.002959969418940493,43.245087646039806,134.6470930896021,34.19299097141308,43.245087646039806,0.01779489621121286
54,0.02778374016146927,0.002218745892266929,33.186158877856386,106.19517678122004,33.44481552727094,33.186158877856386,0.049631786694009764
55,0.04363855676982872,0.0035213887633504626,38.734475953704916,78.40777204895643,49.709723969818064,38.734475953704916,0.06270319213295147
56,0.04087927729905204,0.0003625404135709797,69.23204271077103,117.96833696990403,51.76848636037534,69.23204271077103,0.39198675835058566
57,0.039788334282044084,0.0020327542824050034,63.64934679007513,87.22558462869533,45.752863448731915,63.64934679007513,0.09789261528024204
58,0.030034306814722363,0.0035553843541538525,39.723658086288474,76.67363724922873,63.832517327880815,39.723658086288474,0.039798207374848155
59,0.03728142612532547,0.0033564448223356905,34.67775120989,90.19436869405487,37.45049400573175,34.67775120989,0.046792896288958094
60,0.030431379130233187,0.00040044165001151686,32.188835497688935,139.2393217041237,64.53159836070314,32.188835497688935,0.2058399221716209
61,0.03173373135481867,0.003156161787311386,56.8457241400226,116.73238692325263,47.350111726423805,56.8457241400226,0.037683993230576834
62,0.03784232433830362,0.003066761224856163,61.22789537351889,83.02842634228261,57.72945650031191,61.22789537351889,0.057833008577338
63,0.03656206366928476,0.0039713578147806084,37.86749505372946,100.42300897780933,38.01516434395902,37.86749505372946,0.037475259254255815
64,0.04653082977125049,0.002236356627820748,32.62843749716176,85.4847022524919,64.33669713823014,32.62843749716176,0.11087265871987789
65,0.023232178622050247,0.002217422056896471,44.99434253485177,78.29428186511424,67.66892773005996,44.99434253485177,0.037236472202901855
66,0.04601708082633422,0.0028634270851600092,32.9173910491713,109.94030443449898,48.90076387510092,32.9173910491713,0.07965472940154439
67,0.032772618997458564,0.0007696717181402803,50.55940143246811,83.77940974414864,53.921478080833865,50.55940143246811,0.1504209752441536
68,0.03459353484601073,0.0034388072158464175,56.94089087940948,110.09926194126085,69.0327035159408,56.94089087940948,0.044581731890989074
69,0.03708968175560755,0.0022493525325319487,64.59846635147865,118.78083302485491,49.063393602952914,64.59846635147865,0.07865722045450785
70,0.031899105975593714,0.0029780816483744167,42.88757304983915,137.21791651156866,59.6138653517059,42.88757304983915,0.039543702894449584
71,0.02858875561336987,0.0022518936918917757,60.43946235001749,110.78088500327776,38.16689719116706,60.43946235001749,0.05079709000272188
72,0.0437837550963188,0.0003246979539101144,39.25793022278865,69.13884356762536,58.623332087495584,39.25793022278865,0.4320948617784025
73,0.03480854092149301,0.001422459890087292,40.742711248151835,138.8125717073762,38.79564994665233,40.742711248151835,0.1024298846074326
74,0.045253834979411586,0.002226667515673103,57.05616557853192,113.53591505008382,52.59352359061228,57.05616557853192,0.10709228960345901
75,0.027545583719681143,0.0008665774732708248,56.57001810096508,114.74654069821155,67.32657609260815,56.57001810096508,0.11478819584901453
76,0.04296461923809488,0.003946436232850924,57.29598965872843,117.6708405460819,33.12455972608839,57.29598965872843,0.052671099123057466
77,0.042434240022104816,0.002339336236461166,39.75552787813753,86.75625651823424,42.747607910711295,39.75552787813753,0.09632632730743187
